"Driver","GP","Year","Team","LapTimeQ1","PositionQ1","GapToKnockoutQ1","LapTimeQ2","PositionQ2","GapToKnockoutQ2","GridPosition","RacePosition","Status","Points","PositionDifference","ChampionshipPoints","LastRacePosition","TeamChampionshipPoints","TeammateLastRacePosition","LapTimeFP1","GapToFastestFP1","PositionFP1","LapTimeFP2","GapToFastestFP2","PositionFP2","LapTimeFP3","GapToFastestFP3","PositionFP3","StartingTire","NumberOfPitStops","TiresUsed","MadeItToQ2","MadeItToQ3","DNF","Strategy","TireSOFT","TireMEDIUM","TireHARD","TireWET","TireINTERMEDIATE","TireUNKNOWN","MostPopularStrategy","AlternativeStrategy","Pitlane","DNFDriving","DNFMechanical"
"VER","Austria",2021,"Red Bull Racing",64.489,1,0.653000000000006,64.433,4,0.230000000000004,1,1,"Finished",25,0,112,1,156,4,65.91,0,1,65.412,0.0769999999999981,2,64.57,0.201000000000008,2,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD",0,0,0,0
"VER","Austria",2022,"Red Bull Racing",65.852,3,0.736999999999995,65.374,2,0.786000000000001,1,2,"Finished",19,-1,109,2,189,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD, MEDIUM",1,1,0,"MEDIUM-HARD-MEDIUM-MEDIUM",0,1,0,0,0,0,"MEDIUM-MEDIUM-MEDIUM",1,0,0,0
"VER","Austria",2023,"Red Bull Racing",65.116,1,0.647000000000006,64.951,1,0.435999999999993,1,1,"Finished",26,0,223,1,331,3,65.742,0,1,NA,NA,NA,NA,NA,NA,"MEDIUM",2,"MEDIUM, HARD, MEDIUM, SOFT",1,1,0,"MEDIUM-MEDIUM-HARD-MEDIUM-SOFT",0,1,0,0,0,0,"MEDIUM-MEDIUM-HARD-HARD",1,0,0,0
"VER","Austria",2024,"Red Bull Racing",65.336,3,0.320000000000007,64.469,1,0.804999999999993,1,5,"Finished",10,-4,188,5,289,7,65.685,0,1,NA,NA,NA,NA,NA,NA,"MEDIUM",2,"MEDIUM, HARD, MEDIUM, SOFT",1,1,0,"MEDIUM-HARD-MEDIUM-SOFT",0,1,0,0,0,0,"MEDIUM-HARD-MEDIUM-SOFT",0,0,0,0
"VER","Azerbaijan",2019,"Red Bull Racing",101.727,3,1.68000000000001,101.388,1,1.01000000000001,4,4,"Finished",12,0,143,4,227,17,NA,NA,NA,103.793,0.921000000000006,4,102.852,1.24799999999999,3,"SOFT",1,"SOFT, MEDIUM",1,1,0,"SOFT-MEDIUM",1,0,0,0,0,0,"SOFT-MEDIUM",0,0,0,0
"VER","Azerbaijan",2021,"Red Bull Racing",101.76,2,1.17400000000001,101.625,1,0.570000000000007,3,18,"Accident",0,-15,126.5,18,195.5,1,103.184,0,1,102.216,0.100999999999999,2,103.984,1.733,15,"SOFT",1,"SOFT, HARD",1,1,1,"SOFT-HARD",1,0,0,0,0,0,"SOFT-HARD-HARD-SOFT",1,0,1,0
"VER","Azerbaijan",2022,"Red Bull Racing",102.722,1,1.756,102.227,4,1.149,3,1,"Finished",25,2,191,1,336,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD-HARD",0,1,0,0,0,0,"MEDIUM",1,0,0,0
"VER","Azerbaijan",2023,"Red Bull Racing",101.398,2,1.22399999999999,100.822,1,0.828000000000003,2,2,"Finished",18,0,343,2,529,1,102.315,0,1,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD",1,1,0,"MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-HARD",0,0,0,0
"VER","Bahrain",2019,"Red Bull Racing",89.579,9,0.379999999999995,89.109,7,0.361999999999995,5,4,"Finished",12,1,12,4,16,8,91.673,1.319,5,89.725,0.879000000000005,6,90.959,1.39,8,"SOFT",1,"SOFT, MEDIUM",1,1,0,"SOFT-MEDIUM-MEDIUM",1,0,0,0,0,0,"SOFT-MEDIUM-SOFT",1,0,0,0
"VER","Bahrain",2020,"Red Bull Racing",88.885,5,0.578999999999994,88.025,2,0.983000000000004,3,2,"Finished",19,1,19,2,34,3,90.294,1.26100000000001,6,89.318,0.347000000000008,2,88.355,0,1,"MEDIUM",1,"MEDIUM, HARD, MEDIUM",1,1,0,"MEDIUM-MEDIUM-HARD-HARD-MEDIUM",0,1,0,0,0,0,"MEDIUM-MEDIUM-MEDIUM-HARD",1,0,0,0
